act-avg,sat-avg,enrollment,acceptance-rate,rankingDisplayScore,percent-receiving-aid,cost-after-aid,tuition,displayName,overallRank,institutionalControl
19,930,2092,72,,,,25100,Trevecca Nazarene University,-1,private
19,880,1076,88,,,,30750,Trinity International University,-1,private
19,910,17416,96,,,,21863,University of Akron,-1,public
19,930,9374,77,,,,19797,University of Arkansas--Little Rock,-1,public
21,940,15998,52,,,,23074,University of Louisiana--Lafayette,-1,public
19,920,7778,86,,,,20381,University of Louisiana--Monroe,-1,public
17,790,3278,38,,,,18048,University of Maryland--Eastern Shore,-1,public
19,890,17176,94,,,,21413,University of Memphis,-1,public
21,940,13923,71,,,,27327,University of Missouri--St. Louis,-1,public
19,930,12536,86,,,,22035,University of Nebraska--Omaha,-1,public
19,900,24714,83,,,,21498,University of Nevada--Las Vegas,-1,public
20,950,6442,60,,,,13530,University of New Orleans,-1,public
21,910,16281,74,,,,22410,University of North Carolina--Greensboro,-1,public
19,930,9503,90,,,,20474,University of Northern Colorado,-1,public
20,980,31209,72,,,,23716,University of North Texas,-1,public
20,875,11761,80,,,,19586,University of South Alabama,-1,public
20,940,11779,60,,,,9854,University of Southern Mississippi,-1,public
20,950,32775,70,,,,25152,University of Texas--Arlington,-1,public
17,810,20521,100,,,,21396,University of Texas--El Paso,-1,public
18,850,24433,63,,,,17230,University of Texas--Rio Grande Valley,-1,public
20,920,24724,76,,,,23379,University of Texas--San Antonio,-1,public
19,860,3082,71,,,,23000,University of the Cumberlands,-1,private
20,920,16247,94,,,,18578,University of Toledo,-1,public
21,930,10082,41,,,,18628,University of West Florida,-1,public
18,870,11155,59,,,,20406,University of West Georgia,-1,public
20,,21375,72,,,,19851,University of Wisconsin--Milwaukee,-1,public
19,890,8780,65,,,,17196,Valdosta State University,-1,public
21,915,11823,92,,,,17270,Wichita State University,-1,public
18,930,12504,95,,,,17350,Wright State University,-1,public
,,1264,,,,,17510,Alliant International University,-2,private
,,,,,,,13152,Argosy University,-2,proprietary
,,,,,,,28467,California Institute of Integral Studies,-2,private
,,,,,,,13998,Capella University,-2,proprietary
,,,,,,,21023,Idaho State University,-2,public
,,133,,,,,10368,Northcentral University,-2,proprietary
,,,96,,,,9000,Trident University International,-2,proprietary
,,,,,,,12416,Union Institute and University,-2,private
,,,,,,,9690,University of Phoenix,-2,proprietary
,,,,,,,12075,Walden University,-2,proprietary
,,8873,100,,,,10940,Wilmington University,-2,private
